what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1486105552639
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1486105552654
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.views.showView",1486105552658
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486105686117
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486105690316
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1486105751803
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1486105783949
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1486105793048
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1486105797716
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1486105798716
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1486105805973
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1486105873023
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1486105873121
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1486105873121
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1486105874038
closed,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1486105874040
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1486105876065
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486105924778
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486114450708
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486114460163
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486355530265
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1486355530693
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486355531069
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486355536277
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1486355540406
